annees,taux_mortalite
1946,77.8
1947,71.1
1948,55.9
1949,60.3
1950,52.0
1951,50.8
1952,45.2
1953,41.9
1954,40.7
1955,38.6
1956,36.2
1957,33.8
1958,31.4
1959,29.6
1960,27.4
1961,25.7
1962,25.7
1963,25.6
1964,23.4
1965,21.9
1966,21.7
1967,20.7
1968,20.4
1969,19.6
1970,18.2
1971,17.2
1972,16.0
1973,15.4
1974,14.6
1975,13.8
1976,12.5
1977,11.4
1978,10.7
1979,10.0
1980,10.0
1981,9.7
1982,9.5
1983,9.1
1984,8.3
1985,8.3
1986,8.0
1987,7.8
1988,7.8
1989,7.5
1990,7.3
1991,7.3
1992,6.8
1993,6.5
1994,5.9
1995,4.9
1996,4.8
1997,4.7
1998,4.6
1999,4.3
2000,4.4
2001,4.5
2002,4.1
2003,4.0
2004,3.9
2005,3.6
2006,3.6
2007,3.6
2008,3.6
2009,3.7
2010,3.5
2011,3.3
2012,3.3
2013,3.5
2014,3.3
2015,3.5
2016,3.5